code,date,open,close,high,low,volume,money
000001.XSHE,2014-04-11,721.25,725.06,731.42,715.52,932765.150470306,674484389.0
000001.XSHE,2014-04-14,721.88,717.43,728.24,711.71,663094.4454511241,476286016.0
000001.XSHE,2014-04-15,712.98,697.71,712.98,693.9,840684.2857347607,589951079.0
000001.XSHE,2014-04-16,695.17,698.99,707.89,691.99,592188.6636432566,414022284.0
000001.XSHE,2014-04-17,700.89,693.26,704.07,688.81,479365.1011164642,333308778.0
000001.XSHE,2014-04-18,690.08,686.9,691.99,681.81,508702.1691658176,349116386.0
000001.XSHE,2014-04-21,683.72,679.91,693.26,678.63,468780.81510788185,321958717.0
000001.XSHE,2014-04-22,681.18,703.44,711.07,679.27,822742.3689298306,569436902.0
000001.XSHE,2014-04-23,704.71,718.7,727.61,704.71,1872633.421455406,1346112881.0
000001.XSHE,2014-04-24,726.33,714.25,728.24,707.25,996832.502625132,712285189.0
000001.XSHE,2014-04-25,714.25,715.52,732.7,706.62,1123136.8445326476,810798996.0
000001.XSHE,2014-04-28,715.52,701.53,717.43,697.08,827088.84153208,582531837.0
000001.XSHE,2014-04-29,700.89,709.8,714.89,694.53,650327.0667793744,458214400.0
000001.XSHE,2014-04-30,711.07,708.53,713.61,705.35,408154.8332462987,289374782.0
000001.XSHE,2014-05-05,705.98,698.99,705.98,688.81,634050.314024521,440425706.0
000001.XSHE,2014-05-06,694.53,696.44,705.35,693.26,421011.494170352,294205487.0
000001.XSHE,2014-05-07,693.9,690.08,696.44,690.08,380350.6115233016,263551802.0
000001.XSHE,2014-05-08,688.81,695.17,709.16,688.17,596869.4750924234,418459820.0
000001.XSHE,2014-05-09,695.17,702.8,707.89,693.26,506141.2564029597,354934974.0
000001.XSHE,2014-05-12,709.16,721.25,725.06,700.89,946494.1809358752,678578691.0
000001.XSHE,2014-05-13,720.61,714.25,722.52,712.34,480854.6853342668,344110515.0
000001.XSHE,2014-05-14,712.98,719.34,727.61,712.98,654258.0448744682,471870076.0
000001.XSHE,2014-05-15,718.7,711.71,721.88,709.16,491535.50181956135,351065256.0
000001.XSHE,2014-05-16,711.71,716.79,721.25,711.07,490196.8093862919,351624888.0
000001.XSHE,2014-05-19,716.79,716.79,717.43,709.16,410533.71559313056,292415549.0
000001.XSHE,2014-05-20,715.52,714.89,721.25,711.07,323519.6799507618,231626199.0
000001.XSHE,2014-05-21,712.34,720.61,723.79,705.35,413773.5307586628,297215226.0
000001.XSHE,2014-05-22,720.61,724.43,741.6,718.07,973458.771723976,713091844.0
000001.XSHE,2014-05-23,725.06,736.51,738.42,722.52,653055.9639380319,478103628.0
000001.XSHE,2014-05-26,740.96,736.51,740.96,728.88,496823.2094608356,365030396.0
