code,date,open,close,high,low,volume,money,time_interval,SMA_5,SMA_15,upperband,lowerband,SMA5_volume,ATR_5,ATR_15,MACD
000001.XSHE,2014-02-20,758.77,747.96,779.12,747.32,1204873.287341569,919016714.0,1.0,756.482,746.6453333333334,781.8757081066262,711.4149585600405,1113746.2754393914,24.298000000000002,22.81333333333333,-3.498092243365363
000001.XSHE,2014-02-21,751.78,737.78,752.41,736.51,754691.8051451654,559694680.0,1.0,750.376,746.3906666666667,781.8319399964738,710.9493933368595,1081564.408435469,24.16999999999998,22.855999999999995,0.38636121898412057
000001.XSHE,2014-02-24,728.24,709.8,728.24,708.53,1049995.9425190196,750797144.0,3.0,740.072,745.4153333333333,784.1032065656279,706.7274601010386,1100085.7337542784,26.203999999999997,23.533999999999992,8.465360687897032
000001.XSHE,2014-02-25,710.43,700.89,721.88,699.62,862221.5668649856,611558711.0,1.0,731.9300000000001,743.3799999999999,787.9834194717337,698.7765805282661,1085095.2326720436,26.329999999999995,24.084666666666656,14.681637016100467
000001.XSHE,2014-02-26,701.53,706.62,712.98,699.62,641390.1644448219,453172119.0,1.0,720.61,741.472,789.8560547524257,693.0879452475742,902634.5532631123,22.51399999999999,24.38133333333332,16.502313331881624
000001.XSHE,2014-02-27,709.16,714.89,721.25,700.26,872744.9873407098,621801122.0,1.0,713.996,740.794,790.4324423607351,691.1555576392649,836208.8932629405,20.351999999999997,25.01733333333332,15.153861460592339
000001.XSHE,2014-02-28,710.43,707.89,714.89,691.99,701610.2699571968,493554744.0,1.0,708.0179999999999,739.7339999999999,791.5595192517576,687.9084807482423,825592.5862253468,21.752,25.271999999999988,15.19418697481558
000001.XSHE,2014-03-03,700.89,702.17,704.71,695.17,672038.0078898271,470296239.0,3.0,706.492,737.4866666666666,792.8324336575535,682.1408996757797,750000.9992995082,18.446000000000005,25.10199999999999,15.776285734161775
000001.XSHE,2014-03-04,698.99,698.35,700.89,686.9,829510.0307868548,575016633.0,1.0,705.984,733.162,790.0075849271896,676.3164150728105,743458.692083882,17.048000000000002,22.431333333333328,16.25433143819032
000001.XSHE,2014-03-05,692.63,680.54,698.35,676.73,838052.4142592645,575255997.0,1.0,700.768,727.9040000000001,788.7912277481673,667.0167722518329,782791.1420467705,18.7,22.600666666666665,19.56634428894904
000001.XSHE,2014-03-06,681.18,684.99,690.08,668.46,829196.7634564008,564310609.0,1.0,694.7879999999999,721.7553333333333,779.8632201187494,663.6474465479172,774081.4972699088,18.826,21.158666666666665,19.75600410651873
000001.XSHE,2014-03-07,683.72,686.9,695.81,682.45,768301.5286067843,529716446.0,1.0,690.5899999999999,716.328,770.900522756421,661.755477243579,787419.7489998263,16.917999999999985,20.946666666666655,18.645555495662848
000001.XSHE,2014-03-10,680.54,655.74,681.81,652.56,855819.3049074328,567572732.0,3.0,681.304,709.2893333333334,766.1778059124163,652.4008607542505,824176.0084033475,21.241999999999983,21.963999999999995,23.712562327010914
000001.XSHE,2014-03-11,655.74,651.28,660.82,643.02,708770.3230561356,462154720.0,1.0,671.89,703.268,764.456936535013,642.079063464987,800028.0668572036,21.748,21.708666666666666,26.609459548338464
000001.XSHE,2014-03-12,653.19,658.28,666.55,647.47,809892.0596098925,532489260.0,1.0,667.438,696.2719999999998,751.820739062455,640.7232609375446,794395.9959273292,21.239999999999988,20.81799999999999,25.732255446265413
000001.XSHE,2014-03-13,666.55,671.64,686.27,660.19,985224.2272646058,663461875.0,1.0,664.7679999999999,691.184,740.017794972629,642.350205027371,825601.4886889702,22.51399999999999,20.563999999999997,21.365042409795137
000001.XSHE,2014-03-14,663.37,656.37,669.73,653.19,708145.6739339092,466413496.0,1.0,658.662,685.7566666666665,730.3038375992347,641.2094957340984,813570.3177543951,23.531999999999993,20.73399999999999,21.108541371445995
000001.XSHE,2014-03-17,662.1,665.91,667.82,658.92,586429.1165472813,388746189.0,3.0,660.6959999999999,682.8306666666666,726.3637827749291,639.2975505584042,759692.2800823648,18.953999999999997,19.547333333333327,18.091893208598776
000001.XSHE,2014-03-18,665.91,660.19,668.46,657.01,678931.7772156502,449374168.0,1.0,662.4780000000001,680.1173333333334,723.8992287870941,636.3354378795726,753724.5709142678,17.68399999999999,18.826666666666664,16.77001956324625
000001.XSHE,2014-03-19,658.28,651.28,658.28,645.56,570786.2916103672,370337559.0,1.0,661.078,676.428,719.9645955752853,632.8914044247147,705903.4173143627,16.79400000000003,18.91133333333334,17.15642578832194
000001.XSHE,2014-03-20,650.01,642.38,653.83,639.84,715201.0025218717,462696663.0,1.0,655.226,671.5939999999999,712.8716333762379,630.316366623762,651898.7723658159,13.994000000000028,18.44466666666667,18.521145011769363
000001.XSHE,2014-03-21,640.47,686.27,693.9,638.56,1968183.2922902063,1316737555.0,1.0,661.206,670.1526666666667,707.3020727120407,633.0032606212927,903906.2960370753,21.37200000000005,20.60733333333334,9.40176684995663
