code,date,open,close,high,low,volume,money,time_interval,SMA_5,SMA_15,upperband,lowerband,SMA5_volume,ATR_5,ATR_15,MACD
000001.XSHE,2020-02-07,1733.39,1735.77,1744.08,1712.02,778986.2331990988,1345053206.0,1.0,1724.134,1870.8793333333333,2103.2150343556495,1638.5436323110168,1274775.5401738123,82.15799999999994,59.20666666666666,80.6687221338907
000001.XSHE,2020-02-10,1722.71,1721.52,1725.08,1697.78,1128203.1286305126,1931983402.0,3.0,1736.244,1853.5453333333332,2089.273506068285,1617.8171605983816,1119841.3688837131,52.94999999999995,59.68133333333332,77.88339024069091
000001.XSHE,2020-02-11,1733.39,1755.95,1772.57,1729.83,1185513.7407101567,2077194080.0,1.0,1740.7559999999999,1836.132,2058.2627204842756,1614.0012795157245,1069528.142547987,47.487999999999964,60.07666666666664,65.8405553762957
000001.XSHE,2020-02-12,1755.95,1753.58,1759.51,1733.39,901661.6778247932,1573229015.0,1.0,1744.08,1820.3813333333333,2028.8893875617034,1611.873279104963,998629.5455641247,39.41599999999994,57.939333333333295,56.56596189805282
000001.XSHE,2020-02-13,1746.45,1739.33,1765.45,1734.58,853409.0569357169,1491327626.0,1.0,1741.23,1805.5800000000002,2002.3943374568448,1608.7656625431555,969554.767460056,37.51799999999999,56.831333333333305,51.76761728999236
000001.XSHE,2020-02-14,1751.2,1784.45,1796.32,1745.27,1273892.4150298408,2253906394.0,1.0,1750.966,1795.2906666666668,1977.8824119763685,1612.698921356965,1068536.0038262042,40.604,57.78133333333331,37.41159888154061
000001.XSHE,2020-02-17,1785.63,1824.81,1824.81,1773.76,1300222.6067371394,2337993528.0,3.0,1771.6239999999998,1787.2173333333333,1951.0086953010596,1623.425971365607,1102939.8994475298,43.21599999999999,59.44333333333329,19.070104856546095
000001.XSHE,2020-02-18,1820.06,1804.63,1820.06,1782.07,820056.1001424114,1478274136.0,1.0,1781.36,1777.3233333333333,1913.845766375723,1640.8009002909434,1029848.3713339806,41.553999999999995,60.313333333333304,11.780478972943229
000001.XSHE,2020-02-19,1792.76,1809.38,1824.81,1792.76,736243.9973913715,1333730137.0,1.0,1792.52,1771.308,1891.7419167226033,1650.8740832773967,996764.8352472961,42.74000000000001,58.33399999999997,6.047760583635409
000001.XSHE,2020-02-20,1812.94,1850.93,1854.49,1792.76,1040586.3641520748,1897922980.0,1.0,1814.8400000000001,1767.35,1870.930264805352,1663.7697351946479,1034200.296690568,48.91199999999999,58.887333333333316,-6.20456516777881
000001.XSHE,2020-02-21,1839.06,1849.75,1866.37,1834.31,838121.0358156505,1546692868.0,1.0,1827.9,1767.6666666666667,1872.288137739902,1663.0451955934316,947046.0208477298,43.92599999999997,55.56266666666664,-12.847398307446156
