code,date,open,close,high,low,volume,money
000001.XSHE,2020-04-10,1514.94,1518.5,1541.06,1503.07,561533.6424102733,853689882.0
000001.XSHE,2020-04-13,1504.25,1494.76,1507.82,1481.7,375835.2016377212,562008028.0
000001.XSHE,2020-04-14,1501.88,1526.81,1526.81,1492.38,577881.7259514935,874856499.0
000001.XSHE,2020-04-15,1526.81,1528.0,1535.12,1518.5,552868.4155759164,843649247.0
000001.XSHE,2020-04-16,1518.5,1505.44,1518.5,1490.01,664690.9501541076,997623766.0
000001.XSHE,2020-04-17,1516.13,1530.37,1548.18,1503.07,1121216.1451152335,1713215687.0
000001.XSHE,2020-04-20,1526.81,1542.25,1548.18,1516.13,689366.6026908736,1058523982.0
000001.XSHE,2020-04-21,1579.05,1596.86,1624.17,1579.05,1787688.6671342512,2861879027.0
000001.XSHE,2020-04-22,1587.36,1570.74,1593.3,1562.43,869909.096986134,1368222817.0
000001.XSHE,2020-04-23,1570.74,1570.74,1579.05,1556.49,544944.7056801252,855052081.0
000001.XSHE,2020-04-24,1563.62,1571.93,1576.68,1557.68,476732.8188914265,747473748.0
000001.XSHE,2020-04-27,1579.05,1602.8,1618.23,1576.68,789067.756426254,1263809708.0
000001.XSHE,2020-04-28,1596.86,1605.17,1609.92,1576.68,649872.5244055146,1038718039.0
000001.XSHE,2020-04-29,1600.42,1664.53,1671.66,1596.86,933855.831976594,1541638170.0
000001.XSHE,2020-04-30,1664.53,1653.85,1698.96,1647.91,690279.7835353871,1155968186.0
000001.XSHE,2020-05-06,1633.66,1634.85,1647.91,1615.86,849857.0933113128,1382727443.0
000001.XSHE,2020-05-07,1633.66,1625.35,1633.66,1614.67,558219.4678069341,904349501.0
000001.XSHE,2020-05-08,1633.66,1656.22,1664.53,1624.17,787348.471217592,1297924558.0
000001.XSHE,2020-05-11,1652.66,1662.16,1677.59,1651.47,516201.5690426914,859156543.0
000001.XSHE,2020-05-12,1656.22,1637.23,1668.1,1628.92,470422.2540510497,772109467.0
000001.XSHE,2020-05-13,1632.48,1618.23,1632.48,1607.55,539357.1154903815,871062020.0
000001.XSHE,2020-05-14,1608.73,1579.05,1608.73,1569.55,795674.4688261929,1259440826.0
000001.XSHE,2020-05-15,1589.74,1570.74,1593.3,1560.05,637427.690133313,1004313203.0
000001.XSHE,2020-05-18,1567.18,1567.18,1583.8,1558.87,536704.9349787517,843479646.0
